id;mapId;infoId;name;rarity
9afdc604-e374-47ff-8d9a-809890dcf764;4d08314f-2224-4eff-a3bd-8d141d981fad;77a1f171-eafe-4f73-8243-e07aaf1770a7;Guatemala;2
f5eec884-323d-4c02-9152-96dcc4b5c159;4d08314f-2224-4eff-a3bd-8d141d981fad;21474e99-2784-4434-a304-67369e83345e;Gambia;1
d0545523-9924-4148-ac08-6f7fcf69ae5f;4d08314f-2224-4eff-a3bd-8d141d981fad;ec8446c1-e98b-4b7e-b2fd-2036b94f441d;Mexico;4
84de56f3-ece1-4b95-b614-28f4bf97b5f8;4d08314f-2224-4eff-a3bd-8d141d981fad;0bc175ba-2777-425f-82c6-9e386c8a050c;Malawi;2
9b336d4b-1c36-45e1-bbdc-a7782892f017;4d08314f-2224-4eff-a3bd-8d141d981fad;41e0fb82-7b69-4159-8a8c-d6edd5cd5c48;Argentina;3
73c7216c-1320-441a-8ab4-d77c5694e7aa;4d08314f-2224-4eff-a3bd-8d141d981fad;03019813-5003-43b4-ae6e-8d890a263ed2;Bulgaria;2
618dd9e1-efc4-45fe-a289-b7877b84e1e0;4d08314f-2224-4eff-a3bd-8d141d981fad;c058a836-6d52-41e9-9c5f-aad457dac778;Dominica;1
f8076f6c-cb3d-468a-a9ab-5bec1ce2593a;4d08314f-2224-4eff-a3bd-8d141d981fad;5e723d16-5aad-4fe8-b89b-4af9f54bc394;United Kingdom;3
7a96351d-a786-499b-b444-fe6c4bce1ce3;4d08314f-2224-4eff-a3bd-8d141d981fad;1668ff64-f52c-4167-b41c-c94dff94a941;Micronesia;1
32f32050-974f-4204-8186-a0d8e0835bfb;4d08314f-2224-4eff-a3bd-8d141d981fad;2aae17e7-4184-47e9-8e74-0f05390dd8fc;Rwanda;2
d1feb910-e8ac-4825-b112-e9dc09d9f6df;4d08314f-2224-4eff-a3bd-8d141d981fad;b5177c10-df69-428a-80f4-b71ae9f873e7;Uzbekistan;3
f22d7a09-18ee-4db7-ba32-2961e901ad80;4d08314f-2224-4eff-a3bd-8d141d981fad;e7dab4cb-5951-4623-8145-f55d66474c33;China;5
f376e340-ce74-4294-b778-98052d40a521;4d08314f-2224-4eff-a3bd-8d141d981fad;9061cdcd-a77e-4514-bbb2-264b68abd19a;Cyprus;1
0385f6e5-e802-4d68-8fd5-947733548e79;4d08314f-2224-4eff-a3bd-8d141d981fad;3c6a2790-106a-4d8b-b14a-236b4ac73ac5;South Korea;3
44597f83-0b2b-43ab-b7c6-0efb52a7ca77;4d08314f-2224-4eff-a3bd-8d141d981fad;2053c67c-77fd-4c3b-988e-e5a3c4da635a;Somalia;2
5fe9d817-3b25-4a97-b988-8de1c9b4edfe;4d08314f-2224-4eff-a3bd-8d141d981fad;786d40fa-4011-412c-a967-1402b540b54f;Lebanon;2
d6c03ff0-c86f-42af-a09a-7ee69301b3dc;4d08314f-2224-4eff-a3bd-8d141d981fad;e07281d9-8d5f-498c-9d92-0a307f39b191;Guinea;2
7a368839-3f08-4b3c-b01d-3bf73d91d386;4d08314f-2224-4eff-a3bd-8d141d981fad;3c9befd6-09e4-4b3b-b1ef-235c04601b5b;Tajikistan;2
946bae34-5066-4ba6-ab2e-e8fd673073c0;4d08314f-2224-4eff-a3bd-8d141d981fad;aeadfe3f-0742-4970-8cec-b1f716f1fce8;Malaysia;3
7f9c7e38-4038-44c4-9046-f668133b16ee;4d08314f-2224-4eff-a3bd-8d141d981fad;95d3d57d-a3bb-4398-8bdb-a21e969ecdd7;North Korea;3
ef575eac-a18f-4ca3-8e6d-cb9ffc92c53a;4d08314f-2224-4eff-a3bd-8d141d981fad;8ffbfee3-f015-4701-b3a4-55a76f1ed2d3;Sierra Leone;2
6eb024b4-cc17-4d00-838b-7a8beab75908;4d08314f-2224-4eff-a3bd-8d141d981fad;0074b6a4-ad66-4e9a-8a9e-c15438e90cbb;Benin;2
abac2f9d-8db4-479e-918b-dad18aa0722f;4d08314f-2224-4eff-a3bd-8d141d981fad;c8af194e-2447-4266-9f71-7ba462da390e;Italy;3
36ddee83-b708-4770-8d48-d94c2a68f402;4d08314f-2224-4eff-a3bd-8d141d981fad;172ada42-636b-4503-9e06-e46d8d39816c;Trinidad and Tobago;1
29b6019d-0ac6-40ed-ac3b-31a5cf472106;4d08314f-2224-4eff-a3bd-8d141d981fad;cfe6202d-5198-43ea-8184-2e97911b68bf;Saudi Arabia;3
44b73960-e1a7-4c60-91b1-9a61c4059661;4d08314f-2224-4eff-a3bd-8d141d981fad;542f89b9-7cf5-497b-a93c-25e4059f7d93;Costa Rica;2
e437f035-a59b-4287-8979-562ca25f7984;4d08314f-2224-4eff-a3bd-8d141d981fad;ee391c46-f774-4ba5-9258-737c2619d62e;Serbia;2
e161e617-cb2c-49cf-a15b-d8fd57a0113e;4d08314f-2224-4eff-a3bd-8d141d981fad;62fde66b-f9c9-4453-863f-6c4eb5981fb0;Mongolia;1
1f56a052-2bb4-43a2-96a1-e2896ec3b0a8;4d08314f-2224-4eff-a3bd-8d141d981fad;d4664188-4343-4fe4-b008-005552dfa826;Brunei;1
483794fe-090a-4405-9477-ed0391ba69c4;4d08314f-2224-4eff-a3bd-8d141d981fad;f0e0b61c-9887-4988-b85c-7830fdb38f64;Hungary;2
a130624a-9ab8-4527-97ae-e1b93e0f6d57;4d08314f-2224-4eff-a3bd-8d141d981fad;e353e5e8-6302-470a-8820-952af16881bc;Mozambique;3
